score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label,ps_bins_to_make,ps_bins_to_use
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1154,43,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1197,43,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",1301,28,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1036,32,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1178,45,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1276,23,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1107,39,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1114,26,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",953,26,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",920,25,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",825,26,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",882,21,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",947,24,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",945,26,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",844,30,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",960,20,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1024,26,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1021,23,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",936,22,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1008,5,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1061,23,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",852,19,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",923,23,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",900,23,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",984,25,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",965,24,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",922,25,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",808,97,
NA,NA,NA,NA,NA,NA,85,6,NA,NA,"testing optuna for PS xgb model",991,23,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",865,28,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",984,26,
NA,NA,NA,NA,NA,NA,45,6,NA,NA,"testing optuna for PS xgb model",933,22,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1014,25,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1010,24,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",869,21,
NA,NA,NA,NA,NA,NA,20,7,NA,NA,"testing optuna for PS xgb model",1053,26,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",932,23,
NA,NA,NA,NA,NA,NA,25,7,NA,NA,"testing optuna for PS xgb model",821,23,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",210,25,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",930,20,
NA,NA,NA,NA,NA,NA,15,7,NA,NA,"testing optuna for PS xgb model",1004,29,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",883,22,
NA,NA,NA,NA,NA,NA,100,6,NA,NA,"testing optuna for PS xgb model",894,26,
NA,NA,NA,NA,NA,NA,15,8,NA,NA,"testing optuna for PS xgb model",786,18,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1086,21,
